Initialising login role...
Connecting to remote database...

  
   Local            | Remote           | Time (UTC)            
  ------------------|------------------|-----------------------
   `20260810130000` | `20260810130000` | `2026-08-10 13:00:00` 
   `20260814140000` | `20260814140000` | `2026-08-14 14:00:00` 
   `20260814150000` | `20260814150000` | `2026-08-14 15:00:00` 
   `20260814160000` | `20260814160000` | `2026-08-14 16:00:00` 
   `20260814170000` | `20260814170000` | `2026-08-14 17:00:00` 
   `20260815100000` | `20260815100000` | `2026-08-15 10:00:00` 
   `20260815200000` | `20260815200000` | `2026-08-15 20:00:00` 
   `20260820000000` | `20260820000000` | `2026-08-20 00:00:00` 
   `20260820010000` | `20260820010000` | `2026-08-20 01:00:00` 
   `20260821000000` | ` `              | `2026-08-21 00:00:00` 
   `20260821010000` | ` `              | `2026-08-21 01:00:00` 
   `20260822000000` | ` `              | `2026-08-22 00:00:00` 

